model,R2_train,MAE_train,RMSE_train,R2_test,MAE_test,RMSE_test,rep
Ensemble (XGB+LGBM),0.9749331979504247,6.883231292395339,10.488738158618814,0.6308827729142197,24.535472575734193,40.86434899088385,7
SVR,0.5192910983217959,31.688799263263554,44.737130787702775,0.3499490433932193,47.80358362432744,58.98147680000199,8
Random Forest,0.9569309367260468,8.674233376068358,13.39089973119774,0.7367883353675051,26.962599145299098,37.531377755924794,8
LightGBM,0.924049662029451,12.356549570665852,17.782462454077532,0.797410856149553,22.057118251468896,32.92683793318802,8
XGBoost,0.9749204905792681,5.394192813971104,10.218486218192012,0.8162968577353921,19.80293759077023,31.35452558742648,8
DNN,0.7918428669469733,22.386702008813472,29.43897561850699,0.6197020374203301,30.72847113646899,45.11323189134204,8
Ensemble (XGB+LGBM),0.9602728022682442,8.24763845787039,12.86088962402895,0.8174540298419545,20.126127160186453,31.25561628210118,8
SVR,0.49912316870761975,31.45403531182764,43.80721001284985,0.41498459893281225,51.669036851691054,62.85947452324778,9
Random Forest,0.9557709185315496,8.169087564102556,13.017694738433189,0.8151328953905391,26.54669504273494,35.335961750677,9
LightGBM,0.9485469879448747,9.193602908154581,14.040595403971636,0.8384833982378743,22.623736219040612,33.029019454281105,9
XGBoost,0.9759710193731412,4.589260089580829,9.59506225227427,0.8534891665510962,21.46294931265024,31.4573377965821,9
DNN,0.639619294197918,29.072533928641196,37.158732266700895,0.5758471068579575,43.29735437369908,53.52396934676805,9
Ensemble (XGB+LGBM),0.9677784162115982,6.463212315433172,11.11101067571209,0.8519760999610486,21.5761311022495,31.619355814384644,9
SVR,0.4981249882990022,32.45507417410003,45.92838386737633,0.39409274057291377,46.08511693244644,56.5367147331983,10
Random Forest,0.9691000424457531,8.431726306471282,11.396259208830376,0.8112324137494561,21.962716581196553,31.556672452899758,10
LightGBM,0.9551001656504059,10.06042792730053,13.737438041670487,0.7666229728516433,22.62118366008921,35.08783260237569,10
XGBoost,0.9945858353602355,3.405102955744817,4.77033750047988,0.7987854643128341,17.228328520946015,32.580456578058495,10
DNN,0.8362230870874118,18.94369117966904,26.236730702555413,0.5895717507746615,32.17437218775573,46.53139933769131,10
Ensemble (XGB+LGBM),0.9829612900881916,6.328647053238588,8.462559433838884,0.7945658866050175,18.445307081905057,32.92029905512752,10
SVR,0.48962087616134686,33.93652156346189,46.964035024512235,0.41398929963330555,39.416151109905776,51.838691664742925,11
Random Forest,0.959390760079492,9.220605811965738,13.247422354326876,0.8440548127131263,18.49641196581185,26.741591301237587,11
LightGBM,0.9518599629444041,9.77179938062775,14.423549933201919,0.7938708138818549,20.43966709310498,30.744752636462522,11
XGBoost,0.9842523313282803,4.517355452317459,8.249489737760861,0.8276591107675402,15.120955669696514,28.112238177083395,11
DNN,0.8009499379172029,21.637010085344343,29.329192832225804,0.6801100611469191,30.491137283043173,38.30024476281564,11
Ensemble (XGB+LGBM),0.9741728225431528,6.826971297761192,10.56470623699388,0.8207392032311009,17.144023933652964,28.671071260625233,11
SVR,0.49193599340755323,32.705771805104696,46.488987472650365,0.5485949766356166,37.77972692131348,47.79524959664139,12
Random Forest,0.9493704383587916,9.494553650793593,14.675501684904146,0.8121751981235077,21.887286837606872,30.830318388715526,12
LightGBM,0.9395921902231692,10.656126464865402,16.030143785008637,0.8268827943600212,21.314383663533405,29.598633198765874,12
XGBoost,0.9649737835653348,6.032049805078752,12.206396878274463,0.8677072403851787,16.24987790621244,25.8743577150209,12
DNN,0.67914697378247,28.436585180103183,36.94400232623628,0.45933715609943293,38.031664127930384,52.307601000420746,12
Ensemble (XGB+LGBM),0.9576302116448266,7.956418072899767,13.425146090352914,0.8618719316254287,17.64886834223425,26.438846861387837,12
SVR,0.5521459014361646,31.055494866544915,43.556894921595514,0.3342592758476157,46.05055692465464,58.48072972339908,13
Random Forest,0.9614584610069964,8.27444554334551,12.777713962087413,0.7804624256183401,24.08155946275947,33.582625918636296,13
LightGBM,0.9440475128688063,10.335525697276251,15.395660788404474,0.8094106192288243,21.65655374777393,31.290288729334836,13
XGBoost,0.9775540135648321,4.825587838979868,9.751198198389543,0.7935992526043598,20.957909412873096,32.56235853377567,13
DNN,0.8193568402170257,20.956080795833916,27.66300761970402,0.6135450020299575,32.92579229930338,44.556358052008285,13
Ensemble (XGB+LGBM),0.9679565230915176,7.099742734346064,11.650872576745298,0.8102925509656198,20.74132195706411,31.217808570922454,13
SVR,0.5202462746442836,33.99686505750609,45.17007289913433,0.41505030146813593,38.703170397032295,53.090286007556735,14
Random Forest,0.9624503454959557,9.03111266788766,12.637017481378022,0.7517986472335707,24.37212139194143,34.58261870488651,14
LightGBM,0.953305635393248,9.74924910380199,14.092039395942521,0.7497186140050415,21.175396953886057,34.727224921057314,14
XGBoost,0.9824696498092127,4.870770830985827,8.634494345886258,0.7710159394258171,17.503854863093448,33.2168488631643,14
DNN,0.6882160519065444,27.641151593900712,36.4140085346046,0.4294069702570328,40.99182848191796,52.43472990680875,14
Ensemble (XGB+LGBM),0.9739778734347875,6.984614764531841,10.51993377820755,0.7657560948265318,19.075821542929422,33.59618422867615,14
