protocol,rep,R2,MAE,RMSE
Random (80/20 repeated),176,0.5559360415625891,37.056813488826094,45.320439069065934
Random (80/20 repeated),177,0.41195236130320834,36.74296210699825,43.49147375604091
Random (80/20 repeated),178,0.5758724474587092,31.732343707446944,36.171880283779196
Random (80/20 repeated),179,0.5935737914493047,32.33077421812214,38.475150619220805
Random (80/20 repeated),180,0.5770672840448909,39.34471286781911,46.470990329247954
Random (80/20 repeated),181,0.44495310381403286,41.17804812903658,50.82279142020721
Random (80/20 repeated),182,0.4787828827889402,41.0843243252286,50.828228383789444
Random (80/20 repeated),183,0.1013660881004872,46.17214595541965,64.74867586468133
Random (80/20 repeated),184,-0.007741503768479818,44.903603482020706,62.6410465349429
Random (80/20 repeated),185,0.6836660366883482,30.988982534745045,35.66124462801967
Random (80/20 repeated),186,0.042097118425903135,45.2180395361722,59.13418988621909
Random (80/20 repeated),187,0.5509658543713737,38.34415443079175,46.57838932071885
Random (80/20 repeated),188,-0.17496598755566595,44.96878468866591,68.42046457263015
Random (80/20 repeated),189,0.08333716271106262,44.40408205399758,59.42029864541329
Random (80/20 repeated),190,-0.014804450409582337,47.50899109403055,63.406150832583265
Random (80/20 repeated),191,0.4866112840025595,39.111489393551835,43.493176835857454
Random (80/20 repeated),192,0.5949898557634827,32.031505093305654,39.243019475382475
Random (80/20 repeated),193,0.41537478222505475,38.11324613483607,45.468261156654634
Random (80/20 repeated),194,0.4884389758622796,39.21149062362221,48.517014649219455
Random (80/20 repeated),195,0.5244766279834778,47.81447667743687,56.380782383230375
Random (80/20 repeated),196,0.5882089440980691,40.54103183937059,46.508323479116754
Random (80/20 repeated),197,0.5748124105708805,37.05309041672974,47.206428836189204
Random (80/20 repeated),198,0.003556376371590897,40.54863094369227,57.73340028362583
Random (80/20 repeated),199,0.2562111503252774,41.55261502870835,49.228101169011495
Random (80/20 repeated),200,0.5430843416434035,42.489099115225336,52.96989521709766
Random (80/20 repeated),201,0.6369844947281338,37.12355754852347,43.2653391094907
Random (80/20 repeated),202,0.14256359518032968,45.76975340478764,60.207626418808914
Random (80/20 repeated),203,0.7062580015377075,32.5246026531814,37.40514727565199
Random (80/20 repeated),204,0.2874827414675626,35.07114652605302,53.156054170347254
Random (80/20 repeated),205,0.5585265471243501,31.629199956415242,37.53296832419535
Random (80/20 repeated),206,0.3360913241628841,41.55104164060951,58.75602522097147
Random (80/20 repeated),207,0.36015699368073806,38.39050771647773,55.153025228759255
Random (80/20 repeated),208,0.20844840086508176,40.60756096456486,49.28648269436028
Random (80/20 repeated),209,0.5348825611666121,40.242307430910465,48.452406666267336
Random (80/20 repeated),210,0.5145654952731558,38.6863022312529,49.36847893997117
Random (80/20 repeated),211,0.527252245711246,36.649013397594885,46.573542792164126
Random (80/20 repeated),212,0.6012583994151686,37.01597263310834,44.82917463621265
Random (80/20 repeated),213,0.2034464388358188,43.89262155755304,63.624653894211036
Random (80/20 repeated),214,0.43288621084517376,40.83636054355029,50.46393958088309
Random (80/20 repeated),215,0.48597322300403,41.64174424838358,50.58671264207651
Random (80/20 repeated),216,0.5440996098978703,41.17503899374557,49.10072617279519
Random (80/20 repeated),217,0.4404834635785787,40.94203779331671,47.76627769849254
Random (80/20 repeated),218,0.3098586508445339,46.552239227510015,62.40757047439483
Random (80/20 repeated),219,0.45299206351317967,35.136131400650996,45.38055791137619
Random (80/20 repeated),220,0.2807567953892529,34.99198759154846,41.54499847484993
Random (80/20 repeated),221,0.6366645593104805,35.565376820412816,43.372099899371136
Random (80/20 repeated),222,0.16883776834614883,37.90655331660668,58.33973322301329
Random (80/20 repeated),223,0.5338320610071215,38.87920245841733,49.14872958878104
Random (80/20 repeated),224,0.4217230017166318,41.21814895104426,49.9501391608451
Random (80/20 repeated),225,0.04939004685777104,48.03544539003189,65.52123546728686
Random (80/20 repeated),226,0.5109107373654976,44.26751912968643,52.62603736341794
Random (80/20 repeated),227,0.6804793399298092,30.434073992367956,37.775031169717245
Random (80/20 repeated),228,0.25352497310886746,41.20299267067489,49.05501447808102
Random (80/20 repeated),229,-0.11388112732456346,43.82289680468763,64.87803503505702
Random (80/20 repeated),230,-0.04357666758375811,44.421206285070674,64.85486161899942
Random (80/20 repeated),231,0.6143458155060927,36.630885525373046,47.06288533889084
Random (80/20 repeated),232,0.3647981870962842,47.54839819784266,57.825994171218035
Random (80/20 repeated),233,0.49773487860205645,40.36610742753127,48.99523536134135
Random (80/20 repeated),234,0.35749584601672113,41.235864478918415,50.96457131625096
Random (80/20 repeated),235,0.09587191735312384,41.97656408752752,60.55597868170931
Random (80/20 repeated),236,0.5210733996028174,41.40430652003526,49.81997740100507
Random (80/20 repeated),237,0.5874964005571155,37.10145461405673,42.610776413759275
Random (80/20 repeated),238,0.5299987184348117,40.50027606015648,50.784145383956904
Random (80/20 repeated),239,0.5800917421274645,32.11485103320527,38.52551497049042
Random (80/20 repeated),240,0.5572218690033889,41.61304009038254,50.19979710835967
Random (80/20 repeated),241,0.5120644139397943,35.582589485110425,43.40556692362878
Random (80/20 repeated),242,0.49573955639579625,38.29267233360151,47.99459826396233
Random (80/20 repeated),243,0.4255428556461659,40.141154606560995,48.925189777137554
Random (80/20 repeated),244,0.4238650254701042,34.502446624521426,41.3769942407976
Random (80/20 repeated),245,0.4155811179907588,42.86485609376596,49.09773293140718
Random (80/20 repeated),246,0.3123795750823556,35.113886360053435,54.02933934903559
Random (80/20 repeated),247,0.30295781753355533,44.872229836718525,51.98195795228745
Random (80/20 repeated),248,0.4891292039088887,33.803419198035876,39.67347662457203
Random (80/20 repeated),249,0.5843142034642099,39.89862803129281,50.84537210965499
Group-based (Leave-One-Reference-Out),-1,-1.2185164622807978,81.64331991805973,99.03452540907008
